Species Status MinT MaxT
Adelpharctos_mirus extinct 23.03 28.1
Ursus_arctos extant 0.0117 0.126
Ursus_maritimus extant 0 0.0117
Melursus_ursinus extant 21.7 23
Cyonarctos_dessei extinct 23.86 24.56
Indarctos_punjabiensis extinct 7.6 8.9
Indarctos_punjabiensis extinct 7.6 8.9
Agriarctos_depereti extinct 7.6 8.9
Indarctos_punjabiensis extinct 6.9365 7.14
Indarctos_punjabiensis extinct 6.9365 7.14
Indarctos_punjabiensis extinct 5.3 7.1
Ursus_minimus extinct 3.55 5
Ursus_minimus extinct 3.55 5
Ursus_etruscus extinct 1.9 2.5
Ursus_minimus extinct 2.5 3.55
Ursus_etruscus extinct 2.5 3.55
Ursus_etruscus extinct 1.9 2.5
Ursus_minimus extinct 3.55 5
Ursus_minimus extinct 3.55 5
Ursus_etruscus extinct 1.9 2.5
Ursus_etruscus extinct 2.45 3
Ursus_etruscus extinct 2.263 2.581
Ursus_etruscus extinct 1.9 2.5
Ursus_etruscus extinct 1.981 2.138
Ursus_minimus extinct 1.9 2.5
Ursus_etruscus extinct 1.778 1.945
Ursus_thibetanus extant 1.1531666666667 1.80951
Ursus_arctos extant 0.0117 1.9
Ursus_spelaeus extinct 0.478 0.781
Ursus_etruscus extinct 1.2 1.981
Ursus_arctos extant 0.0117 1.9
Ursus_spelaeus extinct 0.0117 1.9
Ursus_spelaeus extinct 0.0117 1.9
Ursus_spelaeus extinct 0.366 0.458
Ursus_spelaeus extinct 0.29706666666667 0.3786
Ailuropoda_melanoleuca extant 0.0117 1.9
Ursus_angustidens extinct 0.0117 1.9
Ursus_thibetanus extant 0.0117 1.9
Ursus_spelaeus extinct 0.781 1.03
Ursus_footei extinct 0.0117 1.9
Melursus_ursinus extant 0.0117 1.9
Ursus_spelaeus extinct 0.323 0.581
Ursus_spelaeus extinct 0.029 0.035
Ursus_spelaeus extinct 0.0117 0.781
Ursus_spelaeus extinct 0.676 0.781
Ursus_spelaeus extinct 0.424 0.781
Ursus_thibetanus extant 0.424 0.781
Ursus_spelaeus extinct 0.424 0.774
Ursus_arctos extant 0.103414 0.112837
Ursus_spelaeus extinct 0.103414 0.112837
Ailuropoda_melanoleuca extant 0.58243333333333 1.29585
Ursus_thibetanus extant 0.58243333333333 1.29585
Ursus_spelaeus extinct 0.337 0.774
Ursus_thibetanus extant 0.337 0.774
Ursus_spelaeus extinct 0.218 0.255
Ursus_spelaeus extinct 0.0117 1.9
Ursus_spelaeus extinct 0.0419 0.0441
Ursus_spelaeus extinct 0.01 0.115
Ursus_angustidens extinct 0.58243333333333 1.29585
Ursus_spelaeus extinct 0.0117 0.653775
Ailuropoda_melanoleuca extant 0.58243333333333 1.29585
Ursus_thibetanus extant 0.58243333333333 1.29585
Ailuropoda_melanoleuca extant 0.58243333333333 1.29585
Ursus_thibetanus extant 0.58243333333333 1.29585
Ursus_angustidens extinct 0.0117 0.653775
